Date,Round,HomeTeam,AwayTeam,Result,Outcome
2023-04-10,1,Bryne,Kongsvinger,2-1,1.0
2023-04-10,1,Hødd,Raufoss,1-0,1.0
2023-04-10,1,Jerv,Ranheim,1-2,0.0
2023-04-10,1,KFUM Oslo,Sogndal,1-1,0.5
2023-04-10,1,Kristiansund,Fredrikstad,0-1,0.0
2023-04-10,1,Mjøndalen,Åsane,0-0,0.5
2023-04-10,1,Moss,Start,0-0,0.5
2023-04-10,1,Sandnes Ulf,Skeid,4-1,1.0
2023-04-15,2,Ranheim,Bryne,2-1,1.0
2023-04-15,2,Sogndal,Sandnes Ulf,1-0,1.0
2023-04-16,2,Fredrikstad,Moss,1-1,0.5
2023-04-16,2,Kongsvinger,Mjøndalen,2-0,1.0
2023-04-16,2,Raufoss,KFUM Oslo,4-0,1.0
2023-04-16,2,Skeid,Hødd,1-1,0.5
2023-04-16,2,Start,Kristiansund,4-0,1.0
2023-04-16,2,Åsane,Jerv,1-2,0.0
2023-04-22,3,Hødd,Åsane,1-1,0.5
2023-04-22,3,Jerv,Skeid,3-2,1.0
2023-04-22,3,Kristiansund,Kongsvinger,2-0,1.0
2023-04-22,3,Sandnes Ulf,Raufoss,0-0,0.5
2023-04-23,3,Bryne,Start,2-2,0.5
2023-04-23,3,KFUM Oslo,Ranheim,0-1,0.0
2023-04-23,3,Moss,Sogndal,1-2,0.0
2023-04-24,3,Mjøndalen,Fredrikstad,0-1,0.0
2023-04-29,4,Mjøndalen,Kristiansund,1-3,0.0
2023-04-29,4,Ranheim,Skeid,0-4,0.0
2023-04-29,4,Sogndal,Bryne,2-2,0.5
2023-04-30,4,Fredrikstad,Sandnes Ulf,0-0,0.5
2023-04-30,4,Kongsvinger,Hødd,0-3,0.0
2023-04-30,4,Moss,Jerv,2-1,1.0
2023-04-30,4,Start,Raufoss,1-3,0.0
2023-04-30,4,Åsane,KFUM Oslo,1-1,0.5
2023-05-03,5,Bryne,Fredrikstad,0-0,0.5
2023-05-03,5,Hødd,Ranheim,0-0,0.5
2023-05-03,5,Jerv,Mjøndalen,2-3,0.0
2023-05-03,5,KFUM Oslo,Start,2-2,0.5
2023-05-03,5,Kristiansund,Sogndal,2-1,1.0
2023-05-03,5,Raufoss,Åsane,0-0,0.5
2023-05-03,5,Sandnes Ulf,Kongsvinger,1-2,0.0
2023-05-03,5,Skeid,Moss,2-2,0.5
2023-05-06,6,Kristiansund,Bryne,3-1,1.0
2023-05-06,6,Mjøndalen,KFUM Oslo,2-2,0.5
2023-05-06,6,Ranheim,Åsane,3-2,1.0
2023-05-06,6,Sogndal,Raufoss,2-1,1.0
2023-05-07,6,Fredrikstad,Skeid,0-0,0.5
2023-05-07,6,Kongsvinger,Jerv,2-1,1.0
2023-05-07,6,Moss,Sandnes Ulf,1-0,1.0
2023-05-07,6,Start,Hødd,4-2,1.0
2023-05-12,7,Sandnes Ulf,Kristiansund,1-1,0.5
2023-05-13,7,Bryne,Mjøndalen,2-1,1.0
2023-05-13,7,Hødd,Moss,1-1,0.5
2023-05-13,7,Jerv,Fredrikstad,1-1,0.5
2023-05-13,7,KFUM Oslo,Kongsvinger,2-0,1.0
